    N           a            b              ph[hPa]       pf[hPa]
=================================================================
    0         0.000000    0.00000000         0.000          
    1        20.000000    0.00000000         0.200         0.100
    2        38.425343    0.00000000         0.384         0.292
    3        63.647804    0.00000000         0.636         0.510
    4        95.636963    0.00000000         0.956         0.796
    5       134.483307    0.00000000         1.345         1.151
    6       180.584351    0.00000000         1.806         1.575
    7       234.779053    0.00000000         2.348         2.077
    8       298.495789    0.00000000         2.985         2.666
    9       373.971924    0.00000000         3.740         3.362
   10       464.618134    0.00000000         4.646         4.193
   11       575.651001    0.00000000         5.757         5.201
   12       713.218079    0.00000000         7.132         6.444
   13       883.660522    0.00000000         8.837         7.984
   14      1094.834717    0.00000000        10.948         9.892
   15      1356.474609    0.00000000        13.565        12.257
   16      1680.640259    0.00000000        16.806        15.186
   17      2082.273926    0.00000000        20.823        18.815
   18      2579.888672    0.00000000        25.799        23.311
   19      3196.421631    0.00000000        31.964        28.882
   20      3960.291504    0.00000000        39.603        35.784
   21      4906.708496    0.00000000        49.067        44.335
   22      6018.019531    0.00000000        60.180        54.624
   23      7306.631348    0.00000000        73.066        66.623
   24      8765.053711    0.00007582        87.727        80.397
   25     10376.126953    0.00046139       104.229        95.978
   26     12077.446289    0.00181516       122.614       113.421
   27     13775.325195    0.00508112       142.902       132.758
   28     15379.805664    0.01114291       165.089       153.995
   29     16819.474609    0.02067788       189.147       177.118
   30     18045.183594    0.03412116       215.025       202.086
   31     19027.695313    0.05169041       242.652       228.839
   32     19755.109375    0.07353383       272.059       257.356
   33     20222.205078    0.09967469       303.217       287.638
   34     20429.863281    0.13002251       336.044       319.631
   35     20384.480469    0.16438432       370.407       353.226
   36     20097.402344    0.20247594       406.133       388.270
   37     19584.330078    0.24393314       443.009       424.571
   38     18864.750000    0.28832296       480.791       461.900
   39     17961.357422    0.33515489       519.209       500.000
   40     16899.468750    0.38389215       557.973       538.591
   41     15706.447266    0.43396294       596.777       577.375
   42     14411.124023    0.48477158       635.306       616.042
   43     13043.218750    0.53570992       673.240       654.273
   44     11632.758789    0.58616841       710.263       691.752
   45     10209.500977    0.63554746       746.064       728.163
   46      8802.356445    0.68326861       780.346       763.205
   47      7438.803223    0.72878581       812.830       796.588
   48      6144.314941    0.77159661       843.263       828.047
   49      4941.778320    0.81125343       871.420       857.342
   50      3850.913330    0.84737492       897.112       884.266
   51      2887.696533    0.87965691       920.189       908.651
   52      2063.779785    0.90788388       940.551       930.370
   53      1385.912598    0.93194032       958.148       949.349
   54       855.361755    0.95182151       972.987       965.567
   55       467.333588    0.96764523       985.140       979.063
   56       210.393890    0.97966272       994.747       989.944
   57        65.889244    0.98827010      1002.024       998.385
   58         7.367743    0.99401945      1007.264      1004.644
   59         0.000000    0.99763012      1010.849      1009.056
   60         0.000000    1.00000000      1013.250      1012.049
